(15919, 39)
(11235, 40)
(15920, 40)
(19406, 40)
(11235, 73)
(15920, 73)
(19406, 73)
(15919, 74)
(3580, 104)
(10422, 104)
(3579, 105)
(3578, 106)
(3577, 107)
(6670, 126)
(7931, 126)
(16783, 126)
(6869, 147)
(19624, 147)
(12071, 192)
(6701, 193)
(12070, 193)
(12529, 193)
(14737, 242)
(8574, 243)
(14736, 243)
(14735, 244)
(14734, 245)
(14733, 246)
(3715, 261)
(3716, 262)
(7085, 262)
(3717, 263)
(7086, 263)
(7087, 264)
(13813, 289)
(8989, 290)
(10504, 290)
(13814, 290)
(13815, 291)
(10421, 343)
(3580, 344)
(10422, 344)
(5427, 458)
(9201, 458)
(5426, 459)
(7329, 459)
(9200, 459)
(11308, 487)
(11307, 488)
(7038, 489)
(11306, 489)
(11305, 490)
(1821, 693)
(6259, 824)
(13027, 824)
(6260, 825)
(8429, 825)
(13028, 825)
(6261, 826)
(13029, 826)
(6262, 827)
(9697, 901)
(10690, 901)
(12377, 932)
(14638, 932)
(19120, 996)
(1603, 997)
(18756, 997)
(19119, 997)
(18755, 998)
(19118, 998)
(19117, 999)
(3060, 1045)
(6627, 1045)
(3061, 1046)
(8575, 1088)
(8574, 1089)
(14736, 1089)
(8573, 1090)
(8572, 1091)
(8571, 1092)
(1876, 1180)
(6843, 1180)
(10755, 1180)
(3427, 1236)
(915, 1237)
(3426, 1237)
(1602, 1255)
(1603, 1256)
(18756, 1256)
(19119, 1256)
(19120, 1257)
(14428, 1338)
(14796, 1338)
(11050, 1339)
(14429, 1339)
(14797, 1339)
(9698, 1359)
(10691, 1359)
(9697, 1360)
(10690, 1360)
(13815, 1382)
(8989, 1383)
(10504, 1383)
(13814, 1383)
(13813, 1384)
(16937, 1418)
(90, 1483)
(5016, 1545)
(5844, 1545)
(16784, 1584)
(6670, 1585)
(7931, 1585)
(16783, 1585)
(7930, 1586)
(3716, 1610)
(7085, 1610)
(3428, 1664)
(3427, 1665)
(915, 1666)
(3426, 1666)
(5016, 1705)
(5844, 1705)
(5426, 1739)
(7329, 1739)
(9200, 1739)
(5427, 1740)
(9201, 1740)
(5428, 1741)
(9202, 1741)
(5429, 1742)
(12963, 1765)
(9304, 1802)
(9305, 1803)
(9526, 1803)
(14924, 1803)
(15919, 1836)
(11235, 1837)
(15920, 1837)
(19406, 1837)
(19407, 1838)
(8665, 1881)
(16033, 1915)
(9888, 1916)
(16034, 1916)
(9889, 1917)
(11609, 1943)
(11608, 1944)
(14428, 1984)
(14796, 1984)
(11050, 1985)
(14429, 1985)
(14797, 1985)
(11051, 1986)
(6869, 2071)
(19624, 2071)
(19623, 2072)
(11051, 2090)
(11050, 2091)
(14429, 2091)
(14797, 2091)
(14428, 2092)
(14796, 2092)
(14427, 2093)
(14795, 2093)
(16784, 2117)
(6670, 2118)
(7931, 2118)
(16783, 2118)
(6669, 2119)
(16782, 2119)
(6799, 2167)
(8988, 2206)
(10503, 2206)
(8989, 2207)
(10504, 2207)
(13814, 2207)
(10505, 2208)
(6261, 2238)
(13029, 2238)
(6260, 2239)
(8429, 2239)
(13028, 2239)
(8428, 2240)
(8427, 2241)
(9525, 2289)
(14923, 2289)
(9305, 2290)
(9526, 2290)
(14924, 2290)
(9527, 2291)
(6260, 2342)
(8429, 2342)
(13028, 2342)
(6259, 2343)
(13027, 2343)
(13026, 2344)
(6701, 2363)
(12070, 2363)
(12529, 2363)
(6700, 2364)
(9304, 2385)
(9305, 2386)
(9526, 2386)
(14924, 2386)
(9527, 2387)
(13652, 2422)
(14497, 2422)
(20371, 2497)
(19321, 2498)
(20372, 2498)
(19322, 2499)
(19323, 2500)
(3060, 2525)
(6627, 2525)
(1876, 2599)
(6843, 2599)
(10755, 2599)
(10756, 2600)
(20464, 2777)
(14496, 2885)
(13652, 2886)
(14497, 2886)
(14498, 2887)
(2214, 2906)
(19948, 2906)
(12378, 2967)
(12377, 2968)
(14638, 2968)
(14637, 2969)
(13929, 3028)
(19571, 3028)
(2062, 3184)
